STATE,POPULATION (2006),ANNUAL % GR,ANNUAL G.R,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,
ABIA,2845380.00,2.7,0.027,"2,923,252","3,003,255","3,085,447","3,169,889","3,256,642","3,345,769","3,437,336","3,531,408","3,628,055","3,727,347",,
ADAMAWAs,3178950.00,2.9,0.029,"3,272,489","3,368,781","3,467,906","3,569,948","3,674,992","3,783,127","3,894,444","4,009,037","4,127,001","4,248,436",,
AKWA IBOM,3902051.00,3.4,0.034,"4,037,002","4,176,620","4,321,067","4,470,509","4,625,120","4,785,078","4,950,568","5,121,781","5,298,916","5,482,177",,
ANAMBRA,4177828.00,2.8,0.028,"4,296,460","4,418,461","4,543,926","4,672,954","4,805,646","4,942,106","5,082,440","5,226,760","5,375,177","5,527,809",,
BAUCHI,4653066.00,3.4,0.034,"4,813,990","4,980,480","5,152,728","5,330,933","5,515,302","5,706,046","5,903,388","6,107,554","6,318,781","6,537,314",,
BAYELSA,1704515.00,2.9,0.029,"1,754,670","1,806,300","1,859,450","1,914,163","1,970,487","2,028,468","2,088,154","2,149,597","2,212,849","2,277,961",,
BENUE,4253641.00,3.0,0.030,"4,383,184","4,516,671","4,654,225","4,795,967","4,942,026","5,092,533","5,247,624","5,407,438","5,572,118","5,741,815",,
BORNO ,4171104.00,3.4,0.034,"4,315,360","4,464,605","4,619,012","4,778,758","4,944,030","5,115,017","5,291,918","5,474,937","5,664,285","5,860,183",,
CROSS RIVER,2892988.00,2.9,0.029,"2,978,113","3,065,743","3,155,951","3,248,814","3,344,409","3,442,816","3,544,120","3,648,404","3,755,757","3,866,269",,
DELTA,4112445.00,3.2,0.032,"4,246,171","4,384,246","4,526,811","4,674,012","4,825,999","4,982,928","5,144,961","5,312,262","5,485,004","5,663,362",,
EBONYI,2176947.00,2.8,0.028,"2,238,763","2,302,334","2,367,710","2,434,943","2,504,085","2,575,190","2,648,315","2,723,515","2,800,851","2,880,383",,
EDO,3233366.00,2.7,0.027,"3,321,856","3,412,768","3,506,168","3,602,124","3,700,706","3,801,987","3,906,039","4,012,938","4,122,764","4,235,595",,
